id;fotopatente;fotopatente_content_type;fotocamion;fotocamion_content_type;vehiculomodelo;infoadicional;celular;cuit;patente
1;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;mobile Fish;Home Loan Account Table Computer;5808;FTP Savings Account;deposit Tasty Metal Bacon Implementation
2;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Chips;Money Market Account;61165;Grocery Home;Investment Account Steel
3;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Coordinator;Common;78517;grey Cambridgeshire;Canyon HDD
4;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Table Small Frozen Sausages Planner;envisioneer Music Public-key;24102;Bahamian Dollar Investment Account;Games Regional Digitized
5;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;copy convergence;Mayotte;18485;Facilitator;Views e-enable Communications
6;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;National Awesome sky blue;Tactics;84453;compress South Georgia and the South Sandwich Islands;compelling mission-critical
7;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;bifurcated scalable;Small;98688;index orange;Jewelery
8;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;monitor;1080p Checking Account Identity;65107;Internal;Investment Account archive Fantastic Plastic Chicken
9;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;payment;withdrawal COM;47221;Frozen bus;hard drive Robust Networked
10;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png;Poland;Small partnerships;20171;Dynamic;knowledge base Buckinghamshire
